CITY,ACTIVE,FED_RSSD,CERT,STALP,NAME,ID,ASSET
Bedford,1,696047,11355,KY,Bedford Loan & Deposit Bank,11355,119636
Cloverport,0,985844,11357,KY,Breckinridge Bank,11357,30679
Somerset,1,202514,11358,KY,"Cumberland Security Bank, Inc.",11358,416580
Boyceville,0,383253,1136,WI,Red Cedar Bank National Association,1136,26125
Pleasureville,0,535249,11360,KY,"Deposit Bank & Trust Company, Pleasureville, Kentucky",11360,20687
Cynthiana,0,857017,11361,KY,The Harrison Deposit Bank and Trust Company,11361,51555
La Grange,0,572749,11363,KY,Citizens Fidelity Bank and Trust Company Oldham County,11363,134928
Vine Grove,0,111447,11364,KY,Farmers Bank of Vine Grove,11364,34047
Bowling Green,0,969648,11365,KY,"Bowling Green Bank & Trust Company, National Association",11365,208815
Caribou,0,438201,11369,ME,Aroostook Trust Company,11369,47781
Glenwood City,0,220750,1137,WI,First National Bank of Glenwood,1137,21522
Portland,0,330006,11372,ME,Casco Bank & Trust Company,11372,
